,Gender,TravelMethod,TravelTime,PartTimeJob,Relationship,Father's_education,Mother's_education,StudyHours,AttendenceLecs,Concentrate,Friends,SocialMediaTime,extra curricular,HowYouPrepare,StudyPattern,Rate yourself,Marks
0,1,1,3,0,0,1,1,2,1,1,1,3,1,4,1,1,80 to 89
1,1,0,3,0,1,1,2,3,1,1,1,2,1,4,1,1,80 to 89
2,1,1,4,0,0,3,2,2,2,1,0,3,0,1,2,3,60 to 69
3,1,0,3,0,1,1,2,4,1,1,1,2,1,4,1,1,80 to 89
4,1,1,2,0,0,2,1,2,2,1,0,4,0,1,2,2,70 to 79
5,1,1,4,0,0,1,1,3,2,1,1,3,0,7,2,2,60 to 69
6,1,1,3,0,0,1,1,4,2,2,1,3,1,4,2,2,70 to 79
7,1,1,3,0,0,2,2,2,2,1,0,3,1,1,1,2,70 to 79
8,0,0,2,0,1,2,2,4,1,1,1,3,0,4,2,2,60 to 69
9,1,1,3,0,0,1,1,2,2,2,1,2,0,2,2,2,70 to 79
10,1,1,4,0,0,2,2,3,2,2,1,3,1,1,1,2,70 to 79
11,0,0,2,0,1,1,2,3,2,1,1,3,0,1,2,2,70 to 79
12,0,0,1,0,0,1,1,4,2,1,1,2,0,5,1,2,80 to 89
13,0,0,2,0,0,1,2,2,2,2,1,3,1,4,1,2,80 to 89
14,0,1,3,0,0,2,2,3,2,1,1,3,0,7,2,2,70 to 79
15,0,1,2,0,1,1,2,5,2,1,1,3,0,1,2,2,70 to 79
16,1,0,1,0,0,2,2,4,2,1,1,3,0,4,2,2,70 to 79
17,0,0,3,0,1,1,1,3,1,1,1,3,0,2,2,2,80 to 89
18,1,1,1,0,0,1,1,1,1,1,0,2,0,5,2,2,60 to 69
19,0,1,2,0,0,1,2,4,1,1,1,2,0,1,1,2,70 to 79
20,0,1,4,0,0,1,2,3,2,1,1,2,1,1,2,2,80 to 89
21,1,1,3,1,0,2,2,3,2,3,1,1,1,4,1,2,80 to 89
22,1,0,2,0,0,2,1,2,1,1,1,3,0,4,2,2,80 to 89
23,0,1,4,0,1,1,1,2,2,1,1,3,0,1,2,3,60 to 69
24,1,0,3,1,0,2,2,2,2,2,1,3,1,7,2,2,60 to 69
25,1,1,3,1,0,1,1,4,2,1,1,3,0,4,2,2,80 to 89
26,1,1,2,0,1,1,1,3,1,1,1,3,1,7,2,2,80 to 89
27,0,0,1,0,0,1,2,1,2,1,1,3,0,1,2,1,90 to 100
28,1,0,3,0,1,1,2,4,2,3,1,2,1,4,1,2,70 to 79
29,0,1,1,1,1,1,1,1,1,1,1,2,1,2,2,3,60 to 69
30,1,0,3,0,1,1,1,3,1,1,1,2,0,1,2,2,80 to 89
31,1,1,4,0,0,1,2,3,1,1,1,3,0,4,2,2,80 to 89
32,1,1,2,0,0,1,2,3,1,1,1,3,1,4,2,1,80 to 89
33,1,1,4,0,0,1,2,3,1,1,1,3,1,4,1,2,80 to 89
34,0,1,2,0,0,1,1,4,2,2,1,2,0,1,2,2,80 to 89
35,0,0,2,0,0,1,1,2,2,1,1,3,1,4,2,3,80 to 89
36,0,1,4,0,0,2,2,3,2,2,1,3,0,4,1,2,70 to 79
37,1,1,4,0,0,2,2,1,1,1,1,3,0,6,2,2,70 to 79
38,1,1,4,0,0,2,2,4,2,2,1,1,0,1,1,1,90 to 100
39,1,1,4,0,0,1,1,4,2,2,1,3,0,4,1,2,60 to 69
40,0,1,2,1,1,1,2,3,2,2,1,3,0,1,1,1,90 to 100
41,1,1,4,1,1,2,2,2,2,1,1,1,0,1,2,2,70 to 79
42,0,1,2,0,0,3,2,3,2,1,0,3,0,1,2,1,80 to 89
43,0,0,3,1,1,1,1,3,2,2,1,2,1,3,2,3,60 to 69
44,1,0,2,0,1,2,2,4,2,2,1,1,1,1,2,2,70 to 79
45,0,1,3,0,1,2,2,1,2,1,1,3,1,4,2,2,80 to 89
46,0,1,3,1,1,1,1,3,2,2,1,1,0,3,2,3,20 to 29
47,1,0,1,1,1,2,2,2,1,1,1,2,1,7,1,1,90 to 100
48,1,1,4,0,0,2,2,2,2,1,1,3,1,4,1,2,70 to 79
49,1,1,2,1,0,1,1,4,1,1,0,2,1,1,1,1,90 to 100
50,0,0,2,1,0,1,2,3,2,2,1,3,1,4,1,2,80 to 89
